Organisation;Service;Jeu de données initial;Resource initiale;Jeu de données fusionné;Resource après fusion
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de films : Genres de films qui ne plaisent pas;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de films : Genres de films qui ne plaisent pas
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de films : N'aiment pas du tout ou n'ont pas envie de voir (liste de films);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de films : N'aiment pas du tout ou n'ont pas envie de voir (liste de films)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de films : Ont déjà vu les films suivants (liste de films);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de films : Ont déjà vu les films suivants (liste de films)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de films : Préférence pour les films français;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de films : Préférence pour les films français
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de livres : Aiment particulièrement (liste d'auteurs);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de livres : Aiment particulièrement (liste d'auteurs)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de livres : Genre de livre préféré;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de livres : Genre de livre préféré
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de livres : Genres de livres lus le plus souvent;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de livres : Genres de livres lus le plus souvent
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de livres : Genres de romans lus le plus souvent;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de livres : Genres de romans lus le plus souvent
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de livres : N'aiment pas du tout (liste d'auteurs);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de livres : N'aiment pas du tout (liste d'auteurs)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière de livres : Ont déjà lu un livre de...(liste d'auteurs);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière de livres : Ont déjà lu un livre de...(liste d'auteurs)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : Aiment particulièrement (liste de chanteurs);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : Aiment particulièrement (liste de chanteurs)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : Connaissent la musique de ...(liste de chanteurs);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : Connaissent la musique de ...(liste de chanteurs)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : Genre de musique préféré;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : Genre de musique préféré
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : Genres de musique qui ne plaisent pas;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : Genres de musique qui ne plaisent pas
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : Genres de musique écoutés le plus souvent;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : Genres de musique écoutés le plus souvent
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : N'aiment pas du tout (liste de chanteurs);;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : N'aiment pas du tout (liste de chanteurs)
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Préférences en matière musicale : Préférence pour la musique en français;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Préférences en matière musicale : Préférence pour la musique en français
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Sorties et réceptions : Fréquence des réceptions;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Sorties et réceptions : Fréquence des réceptions
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Sorties et réceptions : Fréquence des sorties le soir;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Sorties et réceptions : Fréquence des sorties le soir
Ministère de la Culture et de la Communication;Département des études, de la prospective et des statistiques;Sorties et réceptions : Modalités des sorties le soir;;"Statistiques : résultats de l'enquête 2008 ""Les Pratiques Culturelles des Français""";Sorties et réceptions : Modalités des sorties le soir
